Subject,Question,Option A,Option B,Option C,Option D,Correct Answer,Chapter Name,Correct Option
Chemistry,Mass of 0.5 mole of oxygen gas is,8 g,16 g,32 g,64 g,A,Mole Concept,
Chemistry,How many molecules are present in 18 g of water?,6.023 × 10²³,3.011 × 10²³,1.2046 × 10²⁴,9.03 × 10²²,A,Mole Concept,
Chemistry,Mass of hydrogen required to react completely with 16 g of oxygen is,1 g,2 g,4 g,8 g,B,Stoichiometry,
Chemistry,Which law is used in stoichiometric calculations?,Law of conservation of mass,Law of constant proportions,Law of multiple proportions,Avogadro’s law,A,Stoichiometry,
Chemistry,"If 44 g of CO₂ is formed, the mass of oxygen used is",16 g,28 g,32 g,44 g,B,Stoichiometry,
Biology,Birth rate is defined as number of live births per,100 population per year,1000 population per year,Total population,Women of reproductive age,B,Population,
Biology,Which factor is most responsible for rapid human population growth?,Increased birth rate,Improved sanitation,Industrialisation,Migration,B,Population,
Biology,Population density is expressed as,Number of individuals,Individuals per unit area,Birth rate per year,Death rate per year,B,Population,
Biology,Which age group contributes maximum to population growth?,Pre-reproductive,Reproductive,Post-reproductive,Infant,B,Population,
Biology,Eutrophication of water bodies is caused by excess of,Nitrates and phosphates,Carbon dioxide,Ozone,Sulphur dioxide,A,Pollution,
Biology,Which pollutant is responsible for bio-magnification?,Carbon dioxide,DDT,Sulphur dioxide,Nitrogen oxides,B,Pollution,
Biology,Acid rain is mainly caused by oxides of,Sodium and calcium,Carbon and nitrogen,Sulphur and nitrogen,Oxygen and hydrogen,C,Pollution,
Biology,The earliest human-like ancestor was,Homo sapiens,Homo habilis,Australopithecus,Neanderthal,C,Human Evolution,
Biology,Which feature distinguishes Homo sapiens from other hominids?,Opposable thumb,Upright posture,Large cranial capacity,Use of tools,C,Human Evolution,
Biology,Neanderthal man is known for,Bipedal movement,Large brain size,Use of fire,Stone tools,B,Human Evolution,
Biology,Which plant hormone promotes cell elongation?,Auxin,Gibberellin,Cytokinin,Ethylene,A,Chemical Coordination in Plants,
Biology,Apical dominance in plants is due to,Auxin,Cytokinin,Gibberellin,Abscisic acid,A,Chemical Coordination in Plants,
Biology,Which hormone is responsible for fruit ripening?,Auxin,Gibberellin,Ethylene,Cytokinin,C,Chemical Coordination in Plants,
Biology,The light reaction of photosynthesis takes place in,Stroma,Grana,Mitochondria,Cytoplasm,B,Photosynthesis,
Biology,Which factor does NOT directly affect rate of photosynthesis?,Light intensity,Carbon dioxide concentration,Chlorophyll content,Atmospheric pressure,D,Photosynthesis,
Physics,The mechanical advantage of a machine is defined as the ratio of,resistance force to effort force,effort force to resistance force,distance moved by load to distance moved by effort,work done by machine to work done on machine,A,Machines,
Physics,"A block and tackle system has 4 pulleys. If the effort is 50 N,  the ideal mechanical advantage is",4,8,2,16,B,Machines,
Physics,"If a machine has an efficiency of 60% and input work is 200 J, output work is",100 J,120 J,140 J,160 J,B,Machines,
Physics,"In a lever,  the effort arm and load arm ratio is 3:1. The mechanical advantage is",3,1,0.33,9,A,Machines,
Physics,The velocity ratio of a machine is 5 and mechanical advantage is 4. Its efficiency is,80%,90%,75%,70%,A,Machines,
Physics,Which region of the electromagnetic spectrum is used in television remote controls?,Gamma rays,Microwaves,Infrared,Ultraviolet,C,Spectrum,
Physics,The type of electromagnetic waves used in sterilisation and killing bacteria is,Infrared,Visible light,Ultraviolet,Microwaves,C,Spectrum,
Physics,The region of spectrum used for RADAR systems is,Radio waves,X-rays,UV rays,Gamma rays,A,Spectrum,
Physics,X-rays are primarily used for,Communication,Sterilisation,Medical imaging,Broadcasting,C,Spectrum,
Physics,Which EM wave has the shortest wavelength?,Radio waves,Microwaves,Visible light,Gamma rays,D,Spectrum,
Physics,In a household circuit the fuse wire protects against,Low voltage,High resistance,Overcurrent,Short circuit,A,Household Circuits,
Physics,A circuit has two bulbs in series and one in parallel to the supply. If one bulb in the series burns out, the others,All go off,Only the parallel one remains lit,Only series ones remain lit,B,Household Circuits,
Physics,Why are switches connected to the live wire and not the neutral?,To prevent current flow,For safety to cut off live supply,Neutral never carries current,To increase resistance,B,Household Circuits,
Physics,A current of 2 A flows through a conductor for 3 minutes. The quantity of charge that passes through the conductor is,360 C,180 C,120 C,240 C,A,Current (Numericals),
Physics,"If a lamp of resistance 60 Ω draws a current of 0.5 A,  the potential difference across it is",30 V,60 V,90 V,120 V,A,Current (Numericals),
Physics,A: Newton’s third law is applicable only when bodies are in contact. R: Action and reaction forces act on different bodies,Both A and R true and R explains A,Both A and R true but R does not explain A,A true R false,A false R true,D,Force,
Physics,A: A body moving with uniform velocity has zero net force acting on it R: According to Newton’s first law force is required to maintain motion,Both A and R true and R explains A,Both A and R true but R does not explain A,A true R false,A false R true,C,Force,
Physics,A: A machine can never have efficiency greater than 100% R: Some energy is always lost in overcoming friction,Both A and R true and R explains A,Both A and R true but R does not explain A,A true R false,A false R true,A,Work Energy Power,
Physics,A: Mechanical advantage of a machine can be greater than velocity ratio R: Efficiency of a machine is always less than 1,Both A and R true and R explains A,Both A and R true but R does not explain A,A true R false,A false R true,B,Work Energy Power,
Physics,A: Heat always flows from a hotter body to a colder body R: Temperature is a measure of average kinetic energy of molecules,Both A and R true and R explains A,Both A and R true but R does not explain A,A true R false,A false R true,B,Heat,
Physics,A: Sea breeze blows during the day R: Land heats up faster than water,Both A and R true and R explains A,Both A and R true but R does not explain A,A true R false,A false R true,A,Heat,
Physics,A: Sound cannot travel through vacuum R: Sound waves require a material medium for propagation,Both A and R true and R explains A,Both A and R true but R does not explain A,A true R false,A false R true,A,Waves,
Physics,A: The speed of sound in air increases with temperature R: Increase in temperature decreases air density,Both A and R true and R explains A,Both A and R true but R does not explain A,A true R false,A false R true,B,Waves,
Physics,A: A ray of light bends towards the normal when entering a denser medium R: Speed of light decreases in a denser medium,Both A and R true and R explains A,Both A and R true but R does not explain A,A true R false,A false R true,A,Refraction of Light,
Physics,A: The refractive index of a medium depends on wavelength of light R: Speed of light in a medium varies with wavelength,Both A and R true and R explains A,Both A and R true but R does not explain A,A true R false,A false R true,A,Refraction of Light,
Physics,A: A convex lens can form a virtual image R: When the object is placed between optical centre and focus,Both A and R true and R explains A,Both A and R true but R does not explain A,A true R false,A false R true,A,Lenses,
Physics,A: A concave lens always produces a diminished image R: Its focal length is always negative,Both A and R true and R explains A,Both A and R true but R does not explain A,A true R false,A false R true,B,Lenses,
Physics,A: Electric power increases when resistance decreases for constant voltage R: P = V²/R,Both A and R true and R explains A,Both A and R true but R does not explain A,A true R false,A false R true,A,Current Electricity,
Physics,A: Electric current is same in all components connected in parallel R:Potential difference across each branch is same,Both A and R true and R explains A,Both A and R true but R does not explain A,A true R false,A false R true,D,Current Electricity,
Physics,A: A freely suspended magnet aligns itself in north-south direction R: Earth behaves like a giant magnet,Both A and R true and R explains A,Both A and R true but R does not explain A,A true R false,A false R true,A,Magnetism,
Physics,A: Magnetic field lines never intersect each other R: At intersection point direction of field becomes ambiguous,Both A and R true and R explains A,Both A and R true but R does not explain A,A true R false,A false R true,A,Magnetism,
Physics,What is the SI unit of force?,Newton,Joule,Watt,Pascal,A,Force,
Physics,The speed of light in vacuum is approximately:,3 × 10^8 m/s,3 × 10^6 m/s,3 × 10^10 m/s,3 × 10^5 m/s,A,Spectrum,
Physics,According to Newton's third law:,Action and reaction are equal and opposite,Force equals mass times acceleration,Every object continues in motion,Energy is conserved,A,Force,
Physics,The unit of electric current is:,Ampere,Volt,Ohm,Watt,A,Current Electricity,
Physics,Which of the following is a vector quantity?,Speed,Distance,Velocity,Temperature,C,Force,
Physics,The frequency of AC mains in India is:,50 Hz,60 Hz,100 Hz,220 Hz,A,Current Electricity,
Physics,The principle of conservation of energy states that:,Energy can neither be created nor destroyed,Energy can be created,Energy can be destroyed,Energy remains constant,A,"Work, Energy & Power",
Physics,The SI unit of power is:,Watt,Joule,Newton,Pascal,A,"Work, Energy & Power",
Physics,Ohm's law relates:,"Voltage, current, and resistance",Power and energy,Force and acceleration,Work and time,A,Current Electricity,
Physics,The refractive index of water is approximately:,1.33,1,1.5,2.42,A,Refraction of Light at Plane surfaces,
Physics,A concave lens is used to correct:,Myopia,Hypermetropia,Astigmatism,Presbyopia,A,Refraction Through a Lens,
Physics,The unit of work is:,Joule,Watt,Newton,Pascal,A,"Work, Energy & Power",
Physics,Sound cannot travel through:,Vacuum,Air,Water,Steel,A,Sound,
Physics,The acceleration due to gravity on Earth is:,9.8 m/s²,10 m/s²,9.8 km/s²,10 km/s²,A,Force,
Physics,Which color of light has the maximum wavelength?,Red,Violet,Green,Blue,A,Spectrum,
Physics,An object at rest has:,Potential energy,Only kinetic energy,No energy,Both kinetic and potential energy,A,Force,
Physics,The resistance of a conductor depends on:,"Length, area, and material",Only length,Only area,Only material,A,Current Electricity,
Physics,Electromagnets are made of:,Soft iron,Steel,Copper,Aluminum,A,Electromagnetism,
Physics,The commercial unit of electrical energy is:,kWh,Watt,Joule,Newton,A,Household Circuits,
Physics,Focal length of a convex lens is:,Positive,Negative,Zero,Infinite,A,Refraction Through a Lens,
Chemistry,The chemical formula of water is:,H2O,H2O2,HO,H3O,A,Study of Compounds (water as a simple compound),
Chemistry,The pH of a neutral solution at 25°C is:,7,0,14,1,A,"Acids, Bases & Salts",
Chemistry,Which gas is known as laughing gas?,N2O,NO2,NO,N2O5,A,"Study of Compounds / Organic Chemistry (N₂O, organic oxide)",
Chemistry,The atomic number of carbon is:,6,12,8,14,A,Periodic Table,
Chemistry,Rusting of iron is an example of:,Oxidation,Reduction,Neutralization,Displacement,A,Chemical Bonding / Study of Compounds (oxidation/ corrosion),
Chemistry,The valency of oxygen is:,2,1,3,4,A,Periodic Table / Chemical Bonding,
Chemistry,Which among the following is an acidic oxide?,SO2,CaO,MgO,Na2O,A,"Periodic Table / Acids, Bases & Salts",
Chemistry,The molecular formula of methane is:,CH4,C2H6,C2H4,C3H8,A,Organic Chemistry,
Chemistry,What is the main component of natural gas?,Methane,Ethane,Propane,Butane,A,Organic Chemistry,
Chemistry,The process of converting a solid directly to gas is called:,Sublimation,Evaporation,Condensation,Melting,A,Physical Chemistry Concept (sublimation) — Periodic Table context,
Chemistry,Which metal is the best conductor of electricity?,Silver,Copper,Gold,Aluminum,A,Periodic Table,
Chemistry,The chemical formula of common salt is:,NaCl,KCl,CaCl2,MgCl2,A,Study of Compounds,
Chemistry,What is the valency of sodium?,1,2,3,4,A,Periodic Table / Chemical Bonding,
Chemistry,The formula of sulphuric acid is:,H2SO4,HCl,HNO3,H2CO3,A,Study of Compounds,
Chemistry,Noble gases are found in group:,18,1,17,2,A,Periodic Table,
Chemistry,The functional group in alcohols is:,Carbonyl group (C=O),Carboxyl group (–COOH),Hydroxyl group (–OH),Amino group (–NH₂),C,Organic Chemistry,
Chemistry,The process of slow conversion of iron into rust in the presence of air and moisture is called:,Corrosion,Rusting,Both A and B,,C,Chemical Bonding / Study of Compounds,
Chemistry,The chemical name of baking soda is:,Sodium bicarbonate,Sodium carbonate,Sodium hydroxide,Sodium chloride,A,Study of Compounds / Analytical Chemistry,
Chemistry,Acids turn blue litmus paper:,Red,Blue,Yellow,Green,A,"Acids, Bases & Salts",
Chemistry,The metal which is liquid at  room temperature is:,Mercury,Sodium,Potassium,Gallium,A,Periodic Table,
Maths,What is the value of π (pi) approximately?,3.14,2.14,4.14,5.14,A,Geometry,
Maths,The sum of angles in a triangle is:,180°,90°,360°,270°,A,Geometry – Triangles,
Maths,The quadratic formula is used to solve equations of the form:,ax² + bx + c = 0,ax + b = 0,ax³ + bx² + c = 0,ax² = 0,A,Quadratic Equations,
Maths,The area of a circle with radius r is:,πr²,2πr,πr,r²,A,Mensuration,
Maths,The value of sin 90° is:,1,0,√3/2,1/√2,A,Trigonometry,
Maths,Two parallel lines have slopes that are:,Equal,Negative reciprocals,Different,Zero,A,Coordinate Geometry,
Maths,The HCF of 12 and 18 is:,6,12,18,36,A,Number Theory,
Maths,The LCM of 4 and 6 is:,12,24,8,6,A,Number Theory,
Maths,"If a = 5 and b = 3, what is a² + b²?",34,25,30,64,A,Algebra,
Maths,The volume of a cube with side a is:,a³,a²,3a,6a²,A,Mensuration,
Maths,The Pythagorean theorem states:,a² + b² = c²,a + b = c,ab = c,a² - b² = c²,A,Geometry – Triangles,
Maths,"The median of 3, 5, 7, 9, 11 is:",7,5,9,6,A,Measures of Central Tendency,
Maths,The mode is the value that:,Occurs most frequently,Is in the middle,Is the average,Is the lowest,A,Measures of Central Tendency,
Maths,The formula for the perimeter of a rectangle is:,2(l + w),l × w,l + w,2l + w,A,Mensuration,
Maths,The discriminant of a quadratic equation is:,b² - 4ac,b² + 4ac,4ac - b²,-b ± √(b² - 4ac),A,Quadratic Equations,
Maths,The slope of a horizontal line is:,0,1,Undefined,∞,A,Coordinate Geometry,
Maths,The number of sides in a hexagon is:,6,5,7,8,A,Geometry,
Maths,"If x/y = 2/3, then 3x equals:",2y,y,3y,6y,A,Algebra,
Biology,The powerhouse of the cell is:,Mitochondria,Nucleus,Ribosome,Golgi body,A,Cell,
Biology,Photosynthesis takes place in:,Chloroplasts,Mitochondria,Nucleus,Vacuole,A,Photosynthesis,
Biology,The basic unit of life is:,Cell,Tissue,Organ,Organism,A,Cell,
Biology,DNA stands for:,Deoxyribonucleic acid,Diribonucleic acid,Deoxyribose nucleic acid,Deoxyribonucleotide acid,A,Genetics,
Biology,The process by which plants make food is called:,Photosynthesis,Respiration,Transpiration,Digestion,A,Photosynthesis,
Biology,The largest organ in the human body is:,Skin,Liver,Heart,Brain,A,Human Anatomy,
Biology,How many chambers are there in the human heart?,4,2,3,5,A,Circulatory System,
Biology,The study of plants is called:,Botany,Zoology,Biology,Ecology,A,Plant Physiology,
Biology,Blood is pumped by the:,Heart,Lungs,Liver,Kidneys,A,Circulatory System,
Biology,The green pigment in plants is:,Chlorophyll,Xanthophyll,Carotene,Anthocyanin,A,Photosynthesis,
Biology,The process of releasing water vapor from plants is:,Transpiration,Respiration,Photosynthesis,Absorption,A,Transpiration,
Biology,Genes are made up of:,DNA,RNA,Proteins,Lipids,A,Genetics,
Biology,The organ that filters blood in human body is:,Kidney,Liver,Heart,Lungs,A,Excretory System,
Biology,The scientific name of human is:,Homo sapiens,Homo erectus,Homo habilis,Homo neanderthalensis,A,Genetics / Human Evolution (taxonomy because of evolution context),
Biology,Arteries carry blood:,Away from the heart,To the heart,Within organs,To lungs only,A,Circulatory System,
Biology,The respiratory organ in fish is:,Gills,Lungs,Skin,Trachea,A,Physiology (Respiration) (often part of Human Anatomy & Physiology),
Biology,Insulin is produced by:,Pancreas,Liver,Kidney,Thyroid,A,Endocrine,
Biology,The part of eye that controls the amount of light entering is:,Iris,Pupil,Cornea,Lens,A,Sense Organs,
Biology,The basic unit of nervous system is:,Neuron,Nephron,Dendrite,Axon,A,Nervous System,
Biology,Organisms that cannot make their own food are called:,Heterotrophs,Autotrophs,Producers,Decomposers,A,Photosynthesis / Nutrition (heterotrophs),
Chemistry,Which formula represents a saturated hydrocarbon?,C4H8,C5H12,C4H6,C5H10,B,Organic Chemistry,
Chemistry,Assertion (A) : The tendency of losing electrons increases down the Group. R eason (R) : The most reactive metal is placed at the top of Group 1.,"Both (A) and (R) are true, and (R) is the correct explanation of (A)","Both (A) and (R) are true, and (R) is not the explanation of (A)",(A) is true but (R) is false.,(A) is false but (R) is true.,C,Chemical bonding,
Chemistry,Which of the following option has all the compounds which are members of the same homologous series ?,"CH4, C2H6, C3H8","CH4, C2H6, C3H6","C3H4, C3H6, C3H8","C2H4, C3H6, C4H10",A,Organic Chemistry,
Chemistry,Assertion (A) : In the contact process SO 3 gas is not directly dissolved in water to obtain sulphuric acid. R eason (R) : Dense fog or misty droplets of sulphuric acid are formed which is difficult to condense.,"Both (A) and (R) are true, and (R) is the correct explanation of (A)","Both (A) and (R) are true, and (R) is not the explanation of (A)",(A) is true but (R) is false.,"(A) is false but (R) is true.Oswaal ICSE Chapterwise & Topicwise Question Bank, CHEMISTRY, Class-X 2",A,"Acids, Bases & Salts",
Chemistry,Which pair of reactants can be best used to produce lead (II) sulphate ?,Sulphuric acid + Lead,Sulphuric acid + Lead hydro xide,Sodium sulphate + Lead nitrate,Potassium sulphate + Lead oxide,C,"Acids, Bases & Salts",
Chemistry,Aqueous copper (II) sulphate is electrolysed using copper electrodes. Which statement about the electrolysis is not correct?,An o xidation reaction occurs at the positive,The cur rent is carried through the electrolyte by,The positive electrode loses mass.,The number of copper (II) ions in the electrolyte,D,"Acids, Bases & Salts",
Chemistry,"X, Y & Z are three metallic atoms in successive order belonging to the same group such that atomic radii of 'X' is the smallest. Which of the three atoms is the best reducing agent ?",X,Y,Z,All three have the same reducing power .,C,Periodic table,
Physics,"When a bell fixed on a cycle rings, then the energy conversion that takes place is",gravitational potential energy to sound energy,kinetic energy to sound energy,sound energy to electrical energy,sound energy to mechanical energy,B,"Work, Energy & Power",
Physics,Assertion (A): Ultraviolet radiations are scattered more as compared to the microwave radiations. Reason (R): Wavelength of ultraviolet radiation is more than the wavelength of microwave radiation.,Both A and R are true.,A is true but R is false.,A is false but R is true.,Both A and R are false.,B,Spectrum,
Physics,The potential difference between terminals of a cell in a closed electric circuit is,terminal voltage,electro motive force,voltage drop,none of these,A,Current Electricity,
Physics,During melting of ice at 0°C the,energy is released and temperature remains constant,energy is absorbed and temperature remains constant,energy is released and temperature decreases.,energy is absorbed and temperature increases.,B,Calorimetry,
Physics,A radioactive element is placed in an evacuated chamber. Then the rate of radioactive decay will,Decrease,Increase,Remain unchanged,Depend on the surrounding temperature,C,Radioactivity,
Physics,A block of glass is pushed into the path of the light as shown below. Then the converging point X will,Move away from the slab,Move towards the slab,Not shift,Move towards the left side of the lens,A,Refraction Through a Lens,
Biology,A zygote which has Y chromosome inherited from the father will develop into a:,Will depend on the chromosome inherited from,Girl,Either boy or a girl,Boy,D,Reproductive System,
Biology,Osmosis takes place when there is:,A freely permeable membrane,A cell wall,A selectively permeable membrane,An impermeable membrane,C,Absorption by Roots,
Biology,Assertion (A): Sympathetic nervous system prepares the body for violent action against abnormal conditions. Reason (R): Sympathetic nervous system accelerates heartbeat. Which of the following is correct?,Both A and R are True,"A is True, R is False",A is False but R is True,Both A and R are False,A,Human Anatomy,
Chemistry,"In the 2 nd period, Neon has maximum Ionisation Potential because:",It has unstable electronic configuration.,It easily accepts electrons.,It easily loses electrons.,The outer most shell is completely filled.,D,Periodic table,
Chemistry,The metal hydroxide which reacts with both acids and alkalis to form salt and water is:,Calcium hydroxide,Magnesium hydroxide,Aluminium hydroxide,Ferric hydroxide,C,"Acids, Bases & Salts",
Chemistry,"On passing ammonia gas over heated copper oxide for some time, a reddish-brown residue is left behind. What property of ammonia is demonstrated here?",Basic property,Oxidising property,Reducing property,Acidic property,C,Study of compounds,
Chemistry,Ammonia gas is collected by downward displacement of air since ammonia is:,very slightly soluble in water.,heavier than air.,lighter than air.,insoluble in water.,C,Study of Compounds / Ammonia,
Chemistry,"In the molecule of water, oxygen atom has:",One shared pair of electrons.,Three shared pair of electrons.,T wo lone pairs of electrons.,One lone pair of electrons.,C,Chemical Bonding,
Chemistry,"Mohan has three solutions P, Q and R having a pH of 13, 5 and 2 respectively. Which of the above solutions is P, Q or R : [3]",will react with Magnesium to liberate hydrogen,will liberate ammonia gas when it reacts with,will contain molecules as well as ions? Solved Paper - 2024,,C,Study of compounds,
Maths,The circumcentre of a triangle is the point which is:,at equal distance from the three sides of thetriangle,at equal distance from the three vertices of the triangle,the point of intersection of the three medians.,the point of intersection of the three altitudes of triangle,B,Coordinate Geometry,
Maths,"Assertion (A): A die is thrown once and the prob - ability of getting an even number is 2 3 . Reason (R): The sample space for even numbers on a die is {2, 4, 6}.","A is true, R is false.","A is false, R is true.",Both A and R are true.,Both A and R and false.,B,Probability,
Maths,The given quadratic equation 3 x2 + 7x + 2 = 0 has,two equal real roots.,two distinct real roots.,more than two real roots.,no real roots.,B,Quadratic Equations,
Maths,"Mr. Anuj deposits  Rs 500 per month for 18 months in a recurring deposit account at a certain rate. If he earns Rs 570 as interest at the time of maturity, then his matured amount is",Rs (500 × 18 + 570),Rs (500 × 19 + 570),Rs (500 × 18 × 19 + 570),Rs (500 × 9 × 19 + 570),A,Banking,
Maths,Which of the following cannot be the probability of any event?,5/4,1/4,1/33,67%,A,Probability,
Physics,The SI unit of the moment of force is:,$N m^{-1}$,$N m$,$kg f m$,$N m^2$,,,B
Physics,"A ray of light enters a glass block of refractive index $\mu = 1.50$ from air. If the speed of light in vacuum is $3 \times 10^8 m s^{-1}$, calculate the speed of light in the glass block.",$4.5 \times 10^8 m s^{-1}$,$2.25 \times 10^8 m s^{-1}$,$2.0 \times 10^8 m s^{-1}$,$1.5 \times 10^8 m s^{-1}$,,,C
Physics,"When a tuning fork is held over the mouth of a resonance column, a loud sound is heard at a specific length of the air column. This phenomenon is an example of:",Damped vibrations,Forced vibrations,Resonance,Free vibrations,,,C
Physics,Calculate the amount of heat energy required to raise the temperature of $2 kg$ of water from $20^\circ C$ to $60^\circ C$. (Specific heat capacity of water = $4200 J kg^{-1} ^\circ C^{-1}$),"$336,000 J$","$168,000 J$","$84,000 J$","$504,000 J$",,,A
Physics,"During the emission of an alpha particle ($\alpha$) from a radioactive nucleus, the mass number (A) and the atomic number (Z) change as follows:","A decreases by 2, Z decreases by 2","A decreases by 4, Z decreases by 2","A decreases by 4, Z decreases by 1","A remains same, Z increases by 1",,,B
Physics,"A body is thrown vertically upwards. At the highest point of its trajectory, the body has:",Maximum Kinetic Energy and Minimum Potential Energy,Minimum Kinetic Energy and Maximum Potential Energy,Both Kinetic and Potential Energy are zero,Both Kinetic and Potential Energy are maximum,,,B
Physics,"An object is placed at a distance of $2f$ from a convex lens. If the lower half of the lens is covered with a black opaque paper, then:",Only the upper half of the image will be formed,Only the lower half of the image will be formed,A full image is formed but its intensity is reduced,No image is formed,,,C
Physics,"A single movable pulley system has an efficiency of $80\%$. If an effort of $100 N$ is applied, what is the actual load that can be lifted?",200 N,160 N,80 N,125 N,,,B
Physics,"In a step-up transformer, the relation between the number of turns in the primary coil ($N_p$) and the secondary coil ($N_s$) is:",$N_s < N_p$,$N_s = N_p$,$N_s > N_p$,$N_s = 2 N_p$ always,,,C
Physics,"In a circuit, two resistors of $6 \Omega$ and $12 \Omega$ are connected in parallel. This combination is then connected in series with a $2 \Omega$ resistor and a $12 V$ battery. What is the current flowing through the $12 \Omega$ resistor?",$2.0 A$,$0.67 A$,$1.33 A$,$4.0 A$,,,B
Biology,A cross is made between a homozygous tall plant ($TT$) and a heterozygous tall plant ($Tt$). What is the probability of obtaining a dwarf plant ($tt$) in the offspring?,0%,25%,50%,100%,,,A
Biology,During which stage of mitosis do the chromosomes align at the equatorial plane of the cell?,Prophase,Metaphase,Anaphase,Telophase,,,B
Chemistry,Unsaturated hydrocarbons undergo,Addition Reaction,Sublimation Reaction,Oxidation Reaction,Redox Reaction,,,A
