Subject,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
Maths,"[Geometry] Board-level MCQ 453: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Easy
Maths,"[Statistics] Board-level MCQ 454: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Medium
Maths,"[Probability] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Hard
Maths,"[GST & Banking] Board-level MCQ 456: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Easy
Maths,"[Quadratic Equations] Board-level MCQ 457: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Medium
Maths,"[Arithmetic Progression] Board-level MCQ 458: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Hard
Maths,"[Geometric Progression] Board-level MCQ 459: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Easy
Maths,"[Matrices] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Medium
Maths,"[Coordinate Geometry] Board-level MCQ 461: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Hard
Maths,"[Trigonometric Identities] Board-level MCQ 462: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Easy
Maths,"[Heights & Distances] Board-level MCQ 463: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Medium
Maths,"[Mensuration] Board-level MCQ 464: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Hard
Maths,"[Geometry] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Maths,"[Statistics] Board-level MCQ 466: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Medium
Maths,"[Probability] Board-level MCQ 467: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Hard
Maths,"[GST & Banking] Board-level MCQ 468: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Easy
Maths,"[Quadratic Equations] Board-level MCQ 469: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Medium
Maths,"[Arithmetic Progression] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Hard
Maths,"[Geometric Progression] Board-level MCQ 471: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Easy
Maths,"[Matrices] Board-level MCQ 472: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Medium
Maths,"[Coordinate Geometry] Board-level MCQ 473: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Hard
Maths,"[Trigonometric Identities] Board-level MCQ 474: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Easy
Maths,"[Heights & Distances] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Medium
Maths,"[Mensuration] Board-level MCQ 476: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Hard
Maths,"[Geometry] Board-level MCQ 477: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Easy
Maths,"[Statistics] Board-level MCQ 478: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Medium
Maths,"[Probability] Board-level MCQ 479: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Hard
Maths,"[GST & Banking] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Maths,"[Quadratic Equations] Board-level MCQ 481: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Medium
Maths,"[Arithmetic Progression] Board-level MCQ 482: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Hard
Maths,"[Geometric Progression] Board-level MCQ 483: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Easy
Maths,"[Matrices] Board-level MCQ 484: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Medium
Maths,"[Coordinate Geometry] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Hard
Maths,"[Trigonometric Identities] Board-level MCQ 486: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Easy
Maths,"[Heights & Distances] Board-level MCQ 487: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Medium
Maths,"[Mensuration] Board-level MCQ 488: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Hard
Maths,"[Geometry] Board-level MCQ 489: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Easy
Maths,"[Statistics] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Medium
Maths,"[Probability] Board-level MCQ 491: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Hard
Maths,"[GST & Banking] Board-level MCQ 492: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Easy
Maths,"[Quadratic Equations] Board-level MCQ 493: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Medium
Maths,"[Arithmetic Progression] Board-level MCQ 494: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Hard
Maths,"[Geometric Progression] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Maths,"[Matrices] Board-level MCQ 496: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Medium
Maths,"[Coordinate Geometry] Board-level MCQ 497: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Hard
Maths,"[Trigonometric Identities] Board-level MCQ 498: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Easy
Maths,"[Heights & Distances] Board-level MCQ 499: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Medium
Maths,"[Mensuration] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Hard
Physics,[Light] A ray of light passes from air to glass. Which of the following changes occurs?,Speed decreases and wavelength decreases,Speed increases and wavelength increases,Speed remains constant,Frequency decreases,A,Medium
Physics,[Sound] The pitch of a sound depends on:,Frequency of vibration,Amplitude of vibration,Speed of sound,Distance from source,A,Hard
Physics,[Electricity] A resistor of resistance 5 Ω is connected to a 7 V battery. The current flowing through the circuit is:,1.40 A,1.90 A,1.10 A,2.40 A,A,Easy
Physics,"[Magnetism] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Medium
Physics,[Heat] The quantity of heat required to change 1 kg of ice at 0°C to water at 0°C is called:,Latent heat of fusion,Specific heat capacity,Latent heat of vaporization,Thermal capacity,A,Hard
Physics,[Modern Physics] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,"[Force, Work & Energy] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Medium
Physics,[Light] A ray of light passes from air to glass. Which of the following changes occurs?,Speed decreases and wavelength decreases,Speed increases and wavelength increases,Speed remains constant,Frequency decreases,A,Hard
Physics,[Sound] The pitch of a sound depends on:,Frequency of vibration,Amplitude of vibration,Speed of sound,Distance from source,A,Easy
Physics,[Electricity] A resistor of resistance 2 Ω is connected to a 6 V battery. The current flowing through the circuit is:,3.00 A,3.50 A,2.70 A,4.00 A,A,Medium
Physics,"[Magnetism] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Hard
Physics,[Heat] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,[Modern Physics] Which radiation has the highest penetrating power?,Gamma rays,Alpha particles,Beta particles,X-rays,A,Medium
Physics,"[Force, Work & Energy] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Hard
Physics,[Light] A ray of light passes from air to glass. Which of the following changes occurs?,Speed decreases and wavelength decreases,Speed increases and wavelength increases,Speed remains constant,Frequency decreases,A,Easy
Physics,[Sound] The pitch of a sound depends on:,Frequency of vibration,Amplitude of vibration,Speed of sound,Distance from source,A,Medium
Physics,[Electricity] A resistor of resistance 4 Ω is connected to a 5 V battery. The current flowing through the circuit is:,1.25 A,1.75 A,0.95 A,2.25 A,A,Hard
Physics,[Magnetism] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,[Heat] The quantity of heat required to change 1 kg of ice at 0°C to water at 0°C is called:,Latent heat of fusion,Specific heat capacity,Latent heat of vaporization,Thermal capacity,A,Medium
Physics,[Modern Physics] Which radiation has the highest penetrating power?,Gamma rays,Alpha particles,Beta particles,X-rays,A,Hard
Physics,"[Force, Work & Energy] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Easy
Physics,[Light] A ray of light passes from air to glass. Which of the following changes occurs?,Speed decreases and wavelength decreases,Speed increases and wavelength increases,Speed remains constant,Frequency decreases,A,Medium
Physics,[Sound] The pitch of a sound depends on:,Frequency of vibration,Amplitude of vibration,Speed of sound,Distance from source,A,Hard
Physics,[Electricity] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,"[Magnetism] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Medium
Physics,[Heat] The quantity of heat required to change 1 kg of ice at 0°C to water at 0°C is called:,Latent heat of fusion,Specific heat capacity,Latent heat of vaporization,Thermal capacity,A,Hard
Physics,[Modern Physics] Which radiation has the highest penetrating power?,Gamma rays,Alpha particles,Beta particles,X-rays,A,Easy
Physics,"[Force, Work & Energy] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Medium
Physics,[Light] A ray of light passes from air to glass. Which of the following changes occurs?,Speed decreases and wavelength decreases,Speed increases and wavelength increases,Speed remains constant,Frequency decreases,A,Hard
Physics,[Sound] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,[Electricity] A resistor of resistance 3 Ω is connected to a 7 V battery. The current flowing through the circuit is:,2.33 A,2.83 A,2.03 A,3.33 A,A,Medium
Physics,"[Magnetism] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Hard
Physics,[Heat] The quantity of heat required to change 1 kg of ice at 0°C to water at 0°C is called:,Latent heat of fusion,Specific heat capacity,Latent heat of vaporization,Thermal capacity,A,Easy
Physics,[Modern Physics] Which radiation has the highest penetrating power?,Gamma rays,Alpha particles,Beta particles,X-rays,A,Medium
Physics,"[Force, Work & Energy] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Hard
Physics,[Light] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,[Sound] The pitch of a sound depends on:,Frequency of vibration,Amplitude of vibration,Speed of sound,Distance from source,A,Medium
Physics,[Electricity] A resistor of resistance 5 Ω is connected to a 6 V battery. The current flowing through the circuit is:,1.20 A,1.70 A,0.90 A,2.20 A,A,Hard
Physics,"[Magnetism] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Easy
Physics,[Heat] The quantity of heat required to change 1 kg of ice at 0°C to water at 0°C is called:,Latent heat of fusion,Specific heat capacity,Latent heat of vaporization,Thermal capacity,A,Medium
Physics,[Modern Physics] Which radiation has the highest penetrating power?,Gamma rays,Alpha particles,Beta particles,X-rays,A,Hard
Physics,"[Force, Work & Energy] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,[Light] A ray of light passes from air to glass. Which of the following changes occurs?,Speed decreases and wavelength decreases,Speed increases and wavelength increases,Speed remains constant,Frequency decreases,A,Medium
Physics,[Sound] The pitch of a sound depends on:,Frequency of vibration,Amplitude of vibration,Speed of sound,Distance from source,A,Hard
Physics,[Electricity] A resistor of resistance 2 Ω is connected to a 5 V battery. The current flowing through the circuit is:,2.50 A,3.00 A,2.20 A,3.50 A,A,Easy
Physics,"[Magnetism] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Medium
Physics,[Heat] The quantity of heat required to change 1 kg of ice at 0°C to water at 0°C is called:,Latent heat of fusion,Specific heat capacity,Latent heat of vaporization,Thermal capacity,A,Hard
Physics,[Modern Physics] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,"[Force, Work & Energy] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Medium
Physics,[Light] A ray of light passes from air to glass. Which of the following changes occurs?,Speed decreases and wavelength decreases,Speed increases and wavelength increases,Speed remains constant,Frequency decreases,A,Hard
Physics,[Sound] The pitch of a sound depends on:,Frequency of vibration,Amplitude of vibration,Speed of sound,Distance from source,A,Easy
Physics,[Electricity] A resistor of resistance 4 Ω is connected to a 4 V battery. The current flowing through the circuit is:,1.00 A,1.50 A,0.70 A,2.00 A,A,Medium
Physics,"[Magnetism] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Hard
Physics,[Heat] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,[Modern Physics] Which radiation has the highest penetrating power?,Gamma rays,Alpha particles,Beta particles,X-rays,A,Medium
Physics,"[Force, Work & Energy] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Hard
Physics,[Light] A ray of light passes from air to glass. Which of the following changes occurs?,Speed decreases and wavelength decreases,Speed increases and wavelength increases,Speed remains constant,Frequency decreases,A,Easy
Physics,[Sound] The pitch of a sound depends on:,Frequency of vibration,Amplitude of vibration,Speed of sound,Distance from source,A,Medium
Physics,[Electricity] A resistor of resistance 6 Ω is connected to a 7 V battery. The current flowing through the circuit is:,1.17 A,1.67 A,0.87 A,2.17 A,A,Hard
Physics,[Magnetism] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,[Heat] The quantity of heat required to change 1 kg of ice at 0°C to water at 0°C is called:,Latent heat of fusion,Specific heat capacity,Latent heat of vaporization,Thermal capacity,A,Medium
Physics,[Modern Physics] Which radiation has the highest penetrating power?,Gamma rays,Alpha particles,Beta particles,X-rays,A,Hard
Physics,"[Force, Work & Energy] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Easy
Physics,[Light] A ray of light passes from air to glass. Which of the following changes occurs?,Speed decreases and wavelength decreases,Speed increases and wavelength increases,Speed remains constant,Frequency decreases,A,Medium
Physics,[Sound] The pitch of a sound depends on:,Frequency of vibration,Amplitude of vibration,Speed of sound,Distance from source,A,Hard
Physics,[Electricity] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,"[Magnetism] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Medium
Physics,[Heat] The quantity of heat required to change 1 kg of ice at 0°C to water at 0°C is called:,Latent heat of fusion,Specific heat capacity,Latent heat of vaporization,Thermal capacity,A,Hard
Physics,[Modern Physics] Which radiation has the highest penetrating power?,Gamma rays,Alpha particles,Beta particles,X-rays,A,Easy
Physics,"[Force, Work & Energy] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Medium
Physics,[Light] A ray of light passes from air to glass. Which of the following changes occurs?,Speed decreases and wavelength decreases,Speed increases and wavelength increases,Speed remains constant,Frequency decreases,A,Hard
Physics,[Sound] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,[Electricity] A resistor of resistance 5 Ω is connected to a 5 V battery. The current flowing through the circuit is:,1.00 A,1.50 A,0.70 A,2.00 A,A,Medium
Physics,"[Magnetism] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Hard
Physics,[Heat] The quantity of heat required to change 1 kg of ice at 0°C to water at 0°C is called:,Latent heat of fusion,Specific heat capacity,Latent heat of vaporization,Thermal capacity,A,Easy
Physics,[Modern Physics] Which radiation has the highest penetrating power?,Gamma rays,Alpha particles,Beta particles,X-rays,A,Medium
Physics,"[Force, Work & Energy] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Hard
Physics,[Light] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,[Sound] The pitch of a sound depends on:,Frequency of vibration,Amplitude of vibration,Speed of sound,Distance from source,A,Medium
Physics,[Electricity] A resistor of resistance 2 Ω is connected to a 4 V battery. The current flowing through the circuit is:,2.00 A,2.50 A,1.70 A,3.00 A,A,Hard
Physics,"[Magnetism] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Easy
Physics,[Heat] The quantity of heat required to change 1 kg of ice at 0°C to water at 0°C is called:,Latent heat of fusion,Specific heat capacity,Latent heat of vaporization,Thermal capacity,A,Medium
Physics,[Modern Physics] Which radiation has the highest penetrating power?,Gamma rays,Alpha particles,Beta particles,X-rays,A,Hard
Physics,"[Force, Work & Energy] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,[Light] A ray of light passes from air to glass. Which of the following changes occurs?,Speed decreases and wavelength decreases,Speed increases and wavelength increases,Speed remains constant,Frequency decreases,A,Medium
Physics,[Sound] The pitch of a sound depends on:,Frequency of vibration,Amplitude of vibration,Speed of sound,Distance from source,A,Hard
Physics,[Electricity] A resistor of resistance 4 Ω is connected to a 7 V battery. The current flowing through the circuit is:,1.75 A,2.25 A,1.45 A,2.75 A,A,Easy
Physics,"[Magnetism] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Medium
Physics,[Heat] The quantity of heat required to change 1 kg of ice at 0°C to water at 0°C is called:,Latent heat of fusion,Specific heat capacity,Latent heat of vaporization,Thermal capacity,A,Hard
Physics,[Modern Physics] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,"[Force, Work & Energy] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Medium
Physics,[Light] A ray of light passes from air to glass. Which of the following changes occurs?,Speed decreases and wavelength decreases,Speed increases and wavelength increases,Speed remains constant,Frequency decreases,A,Hard
Physics,[Sound] The pitch of a sound depends on:,Frequency of vibration,Amplitude of vibration,Speed of sound,Distance from source,A,Easy
Physics,[Electricity] A resistor of resistance 6 Ω is connected to a 6 V battery. The current flowing through the circuit is:,1.00 A,1.50 A,0.70 A,2.00 A,A,Medium
Physics,"[Magnetism] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Hard
Physics,[Heat] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,[Modern Physics] Which radiation has the highest penetrating power?,Gamma rays,Alpha particles,Beta particles,X-rays,A,Medium
Physics,"[Force, Work & Energy] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Hard
Physics,[Light] A ray of light passes from air to glass. Which of the following changes occurs?,Speed decreases and wavelength decreases,Speed increases and wavelength increases,Speed remains constant,Frequency decreases,A,Easy
Physics,[Sound] The pitch of a sound depends on:,Frequency of vibration,Amplitude of vibration,Speed of sound,Distance from source,A,Medium
Physics,[Electricity] A resistor of resistance 3 Ω is connected to a 5 V battery. The current flowing through the circuit is:,1.67 A,2.17 A,1.37 A,2.67 A,A,Hard
Physics,[Magnetism] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,[Heat] The quantity of heat required to change 1 kg of ice at 0°C to water at 0°C is called:,Latent heat of fusion,Specific heat capacity,Latent heat of vaporization,Thermal capacity,A,Medium
Physics,[Modern Physics] Which radiation has the highest penetrating power?,Gamma rays,Alpha particles,Beta particles,X-rays,A,Hard
Physics,"[Force, Work & Energy] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Easy
Physics,[Light] A ray of light passes from air to glass. Which of the following changes occurs?,Speed decreases and wavelength decreases,Speed increases and wavelength increases,Speed remains constant,Frequency decreases,A,Medium
Physics,[Sound] The pitch of a sound depends on:,Frequency of vibration,Amplitude of vibration,Speed of sound,Distance from source,A,Hard
Physics,[Electricity] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,"[Magnetism] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Medium
Physics,[Heat] The quantity of heat required to change 1 kg of ice at 0°C to water at 0°C is called:,Latent heat of fusion,Specific heat capacity,Latent heat of vaporization,Thermal capacity,A,Hard
Physics,[Modern Physics] Which radiation has the highest penetrating power?,Gamma rays,Alpha particles,Beta particles,X-rays,A,Easy
Physics,"[Force, Work & Energy] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Medium
Physics,[Light] A ray of light passes from air to glass. Which of the following changes occurs?,Speed decreases and wavelength decreases,Speed increases and wavelength increases,Speed remains constant,Frequency decreases,A,Hard
Physics,[Sound] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,[Electricity] A resistor of resistance 2 Ω is connected to a 7 V battery. The current flowing through the circuit is:,3.50 A,4.00 A,3.20 A,4.50 A,A,Medium
Physics,"[Magnetism] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Hard
Physics,[Heat] The quantity of heat required to change 1 kg of ice at 0°C to water at 0°C is called:,Latent heat of fusion,Specific heat capacity,Latent heat of vaporization,Thermal capacity,A,Easy
Physics,[Modern Physics] Which radiation has the highest penetrating power?,Gamma rays,Alpha particles,Beta particles,X-rays,A,Medium
Physics,"[Force, Work & Energy] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Hard
Physics,[Light] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,[Sound] The pitch of a sound depends on:,Frequency of vibration,Amplitude of vibration,Speed of sound,Distance from source,A,Medium
Physics,[Electricity] A resistor of resistance 4 Ω is connected to a 6 V battery. The current flowing through the circuit is:,1.50 A,2.00 A,1.20 A,2.50 A,A,Hard
Physics,"[Magnetism] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Easy
Physics,[Heat] The quantity of heat required to change 1 kg of ice at 0°C to water at 0°C is called:,Latent heat of fusion,Specific heat capacity,Latent heat of vaporization,Thermal capacity,A,Medium
Physics,[Modern Physics] Which radiation has the highest penetrating power?,Gamma rays,Alpha particles,Beta particles,X-rays,A,Hard
Physics,"[Force, Work & Energy] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Physics,[Light] A ray of light passes from air to glass. Which of the following changes occurs?,Speed decreases and wavelength decreases,Speed increases and wavelength increases,Speed remains constant,Frequency decreases,A,Medium
Physics,[Sound] The pitch of a sound depends on:,Frequency of vibration,Amplitude of vibration,Speed of sound,Distance from source,A,Hard
Physics,[Electricity] A resistor of resistance 6 Ω is connected to a 5 V battery. The current flowing through the circuit is:,0.83 A,1.33 A,0.53 A,1.83 A,A,Easy
Physics,"[Magnetism] If the work done by a force is zero, the angle between force and displacement is:",90°,0°,45°,180°,A,Medium
Physics,[Heat] The quantity of heat required to change 1 kg of ice at 0°C to water at 0°C is called:,Latent heat of fusion,Specific heat capacity,Latent heat of vaporization,Thermal capacity,A,Hard
Physics,[Modern Physics] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
